BCProviderRegistry
=========================================

Generic: line 0, col 0, Warning - The HTML fragment 'ip-statements.xhtml' is not included anywhere in the produced implementation guide (NOTFOUND)
/github/workspace/fsh-generated/resources/Parameters-Example-Response-Add-Practitioner.json: line 483, col 24, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Parameters-Example-Response-Add-Practitioner.json: line 483, col 24, Error - None of the codings provided are in the value set 'BC Communication Purpose Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-communication-purpose-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system#BC) (CODEINVALID)
/github/workspace/fsh-generated/resources/Parameters-Example-Response-Add-Practitioner.json: line 537, col 18, Error - None of the codings provided are in the value set 'BC Language Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-language-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-language-code-system#B01) (CODEINVALID)
/github/workspace/fsh-generated/resources/Parameters-Example-Response-Add-Practitioner.json: line 594, col 18, Error - None of the codings provided are in the value set 'BC Practitioner Role Code Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-practitioner-role-value-set|1.0.0), and a coding from this value set is required) (codes = http://fhir.infoway-inforoute.ca/CodeSystem/scptype#MD) (CODEINVALID)
/github/workspace/fsh-generated/resources/Parameters-Example-Response-Add-Practitioner.json: line 19, col 8, Error - Slice 'Bundle.entry:Practitioner': a matching slice is required, but not found (from http://hlth.gov.bc.ca/fhir/provider/StructureDefinition/bc-practitioner-bundle|1.0.0). Note that other slices are allowed in addition to this required slice (STRUCTURE)
/github/workspace/fsh-generated/resources/Parameters-Example-Response-Add-Practitioner.json: line 19, col 8, Error - Slice 'Bundle.entry:PractitionerRole': a matching slice is required, but not found (from http://hlth.gov.bc.ca/fhir/provider/StructureDefinition/bc-practitioner-bundle|1.0.0). Note that other slices are allowed in addition to this required slice (STRUCTURE)
/github/workspace/fsh-generated/resources/Parameters-Example-Response-Update-Organization.json: line 173, col 24, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Parameters-Example-Response-Update-Organization.json: line 173, col 24, Error - None of the codings provided are in the value set 'BC Communication Purpose Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-communication-purpose-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system#BC) (CODEINVALID)
/github/workspace/fsh-generated/resources/Parameters-Example-Response-Update-Organization.json: line 134, col 24, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Parameters-Example-Response-Update-Organization.json: line 134, col 24, Error - None of the codings provided are in the value set 'BC Communication Purpose Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-communication-purpose-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system#BC) (CODEINVALID)
/github/workspace/fsh-generated/resources/Parameters-Example-Response-Update-Organization.json: line 231, col 18, Error - None of the codings provided are in the value set 'BC Organization Role Code Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-organization-role-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-organization-role-code-system#CLINIC) (CODEINVALID)
/github/workspace/fsh-generated/resources/Parameters-Example-Response-Update-Organization.json: line 19, col 8, Error - Slice 'Bundle.entry:Organization': a matching slice is required, but not found (from http://hlth.gov.bc.ca/fhir/provider/StructureDefinition/bc-organization-bundle|1.0.0). Note that other slices are allowed in addition to this required slice (STRUCTURE)
/github/workspace/fsh-generated/resources/Parameters-Example-Response-Update-Practitioner.json: line 116, col 24, Error - None of the codings provided are in the value set 'BC License Status Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-license-status-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-license-status-code-system#SUSPENDED) (CODEINVALID)
/github/workspace/fsh-generated/resources/Parameters-Example-Response-Update-Practitioner.json: line 127, col 24, Error - None of the codings provided are in the value set 'BC License Status Reason Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-license-status-reason-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-license-status-reason-code-system#LTP) (CODEINVALID)
/github/workspace/fsh-generated/resources/Parameters-Example-Response-Update-Practitioner.json: line 138, col 24, Error - None of the codings provided are in the value set 'BC License Status Class Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-license-status-class-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-license-status-class-code-system#LIC) (CODEINVALID)
/github/workspace/fsh-generated/resources/Parameters-Example-Response-Update-Practitioner.json: line 443, col 24, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Parameters-Example-Response-Update-Practitioner.json: line 443, col 24, Error - None of the codings provided are in the value set 'BC Communication Purpose Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-communication-purpose-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system#BC) (CODEINVALID)
/github/workspace/fsh-generated/resources/Parameters-Example-Response-Update-Practitioner.json: line 483, col 24, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Parameters-Example-Response-Update-Practitioner.json: line 483, col 24, Error - None of the codings provided are in the value set 'BC Communication Purpose Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-communication-purpose-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system#BC) (CODEINVALID)
/github/workspace/fsh-generated/resources/Parameters-Example-Response-Update-Practitioner.json: line 537, col 18, Error - None of the codings provided are in the value set 'BC Language Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-language-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-language-code-system#B01) (CODEINVALID)
/github/workspace/fsh-generated/resources/Parameters-Example-Response-Update-Practitioner.json: line 594, col 18, Error - None of the codings provided are in the value set 'BC Practitioner Role Code Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-practitioner-role-value-set|1.0.0), and a coding from this value set is required) (codes = http://fhir.infoway-inforoute.ca/CodeSystem/scptype#MD) (CODEINVALID)
/github/workspace/fsh-generated/resources/Parameters-Example-Response-Update-Practitioner.json: line 19, col 8, Error - Slice 'Bundle.entry:Practitioner': a matching slice is required, but not found (from http://hlth.gov.bc.ca/fhir/provider/StructureDefinition/bc-practitioner-bundle|1.0.0). Note that other slices are allowed in addition to this required slice (STRUCTURE)
/github/workspace/fsh-generated/resources/Parameters-Example-Response-Update-Practitioner.json: line 19, col 8, Error - Slice 'Bundle.entry:PractitionerRole': a matching slice is required, but not found (from http://hlth.gov.bc.ca/fhir/provider/StructureDefinition/bc-practitioner-bundle|1.0.0). Note that other slices are allowed in addition to this required slice (STRUCTURE)
/github/workspace/fsh-generated/resources/Practitioner-Example-AddPractitioner-Practitioner.json: line 159, col 12, Error - None of the codings provided are in the value set 'BC License Status Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-license-status-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-license-status-code-system#SUSPENDED) (CODEINVALID)
/github/workspace/fsh-generated/resources/Practitioner-Example-AddPractitioner-Practitioner.json: line 170, col 12, Error - None of the codings provided are in the value set 'BC License Status Reason Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-license-status-reason-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-license-status-reason-code-system#LTP) (CODEINVALID)
/github/workspace/fsh-generated/resources/Practitioner-Example-AddPractitioner-Practitioner.json: line 181, col 12, Error - None of the codings provided are in the value set 'BC License Status Class Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-license-status-class-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-license-status-class-code-system#LIC) (CODEINVALID)
/github/workspace/fsh-generated/resources/Practitioner-Example-AddPractitioner-Practitioner.json: line 79, col 12, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Practitioner-Example-AddPractitioner-Practitioner.json: line 79, col 12, Error - None of the codings provided are in the value set 'BC Communication Purpose Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-communication-purpose-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system#BC) (CODEINVALID)
/github/workspace/fsh-generated/resources/Practitioner-Example-AddPractitioner-Practitioner.json: line 109, col 12, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Practitioner-Example-AddPractitioner-Practitioner.json: line 109, col 12, Error - None of the codings provided are in the value set 'BC Communication Purpose Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-communication-purpose-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system#BC) (CODEINVALID)
/github/workspace/fsh-generated/resources/Practitioner-Example-AddPractitioner-Practitioner.json: line 136, col 6, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-language-code-system' could not be found, so the code cannot be validated (NOTFOUND)
